objectid,ttwa11cd,ttwa11nm,st_areashape,st_lengthshape
1,E30000004,Barnsley,341044589.541896,110560.685107855
2,E30000018,Bradford,346407220.961668,101920.818001427
3,E30000029,Halifax,365872404.629671,94955.2207719303
4,E30000039,Skipton,1182879804.00511,174106.195150815
5,E30000046,Dorchester and Weymouth,716929477.774493,192372.153733825
6,E30000051,Falmouth,361020971.898177,111502.414983861
7,E30000054,Grantham,778848785.341458,160800.474186133
8,E30000061,Hastings,459742747.879549,111209.055199409
9,E30000064,Hexham,2176501799.46675,258846.453592821
10,E30000070,Isle of Wight,381871316.635518,108670.345893399
11,E30000076,Lancaster and Morecambe,571268115.259573,160273.5750934
12,E30000093,Middlesbrough and Stockton,766343219.254922,184920.075415764
13,E30000095,Minehead,575538823.173633,130130.395066887
14,E30000106,Penrith,1961721517.51704,240572.454035253
15,E30000108,Peterborough,1569056969.35971,265502.344274679
16,E30000110,Poole,508334897.813458,212269.945936023
17,E30000124,Spalding,753756159.591307,138728.345228322
18,E30000135,Thetford and Mildenhall,1104326321.78154,211266.889036832
19,E30000147,Whitby,468712422.669404,118059.794413971
20,E30000159,Andover,581428212.436011,161136.582480255
21,E30000160,Ashford,583010680.230226,122600.91561911
22,E30000161,Banbury,692461072.47375,148881.514023367
23,E30000162,Barnstaple,1092022636.07269,200681.876330092
24,E30000163,Barrow-in-Furness,555033834.952074,180833.213839338
25,E30000164,Basingstoke,696963858.452549,142904.912007938
26,E30000165,Bath,382982281.042494,128678.462718054
27,E30000166,Bedford,733766501.563839,155454.494753115
28,E30000167,Bideford,584974784.312921,185207.784354369
29,E30000168,Birkenhead,203467121.502802,66202.9414578097
30,E30000169,Birmingham,1084871284.23108,219004.480993824
91,E30000233,Liverpool,611117538.613222,142845.958098874
31,E30000170,Blackburn,721759304.439539,194282.247264616
32,E30000171,Blackpool,222505075.872762,87583.3733742913
33,E30000172,Blandford Forum and Gillingham,751515538.738343,171664.513632913
34,E30000173,Blyth and Ashington,1462470898.02708,257406.76858366
35,E30000174,Boston,626577617.097196,123201.992487446
36,E30000175,Bournemouth,427023236.278576,144358.950749718
37,E30000176,Bridgwater,440948440.304447,130673.764358647
38,E30000177,Bridlington,306695464.288678,113896.81496894
39,E30000178,Bridport,297973715.00482,89668.9230856015
40,E30000179,Brighton,255968064.709189,105295.405021263
41,E30000180,Bristol,1036704419.24278,197623.498262764
42,E30000181,Bude,601964866.399146,191433.492555447
43,E30000182,Burnley,279586844.830058,79415.3644117925
44,E30000183,Burton upon Trent,593565805.765956,192001.704407146
45,E30000184,Bury St Edmunds,874640298.381054,188727.076809049
46,E30000185,Buxton,448121091.3097,147112.25904955
47,E30000186,Cambridge,2690186930.6649,348339.549909164
48,E30000187,Canterbury,555065679.150927,145547.014408509
49,E30000188,Chelmsford,1662758135.49063,321672.190636103
50,E30000189,Cheltenham,589633655.627217,195414.316278228
51,E30000190,Chesterfield,632959754.945116,138557.209841537
52,E30000191,Chichester and Bognor Regis,761701018.855664,196666.725772002
53,E30000192,Clacton,239344087.566105,120241.347891157
54,E30000193,Colchester,606959721.674762,182103.91774625
55,E30000194,Corby,132969599.881485,76412.8610547572
56,E30000195,Coventry,821689929.803415,194049.489961479
